SKU,"Is Variantion Group","Variation SKU","Variantion Group Name","Item Title","Short Description","Retail Price",Category,Brand,Weight,Height,"Dim Width","Stock available level at location","Stock level at location","Stock minimum level at location",Colour,"Manufacturer Part Number",Location,Size,"Amazon AU Price","eBay AU Price","Amazon CA Price","eBay CA Price","Amazon US Price","eBay US Price","Amazon UK Price","eBay UK Price","Amazon DE Price","Amazon FR Price","Amazon IT Price","Amazon ES Price","eBay IE Price","Amazon AU Title","eBay AU Title","eBay US Title","eBay CA Title","eBay UK Title","eBay IE Title","Amazon US Title","Amazon UK Title","Amazon DE Title","Amazon CA Title","Amazon FR Title","Amazon IT Title","Amazon ES Title","Default Description","Amazon AU Description","Amazon US Description","Amazon UK Description","Amazon DE Description","Amazon CA Description","Amazon FR Description","Amazon IT Description","Amazon ES Description","SEO Title Tags","SEO Description Tags","Website Title",PrimaryImage,Image2,Image3,Image4,Image5,Image6,Image7
KUP00115MAS-CODE1,Yes,KUP00115MAS-CODE1,"Butter Fly Pun Food","Butter Fly Pun Food",,32.00,Chirstmas,"Umbrella Ink",0.20,,,9999999,9999999,,,KUP00115MAS-CODE1,Default,,243,243,32,32,32,32,-0.9,-0.9,32,32,32,32,32,"Butter Fly Pun Food Tshirts Funny Men Women","Butter Fly Pun Food Tshirts Funny Men Women","Butter Fly Pun Food Tshirts Funny Men Women","Butter Fly Pun Food Tshirts Funny Men Women","Butter Fly Pun Food Tshirts Funny Men Women","Butter Fly Pun Food Tshirts Funny Men Women","Butter Fly Pun Food Tshirts Funny Men Women","Butter Fly Pun Food Tshirts Funny Men Women","Butter Fly Pun Food Tshirts Funny Men Women","Butter Fly Pun Food Tshirts Funny Men Women","Butter Fly Pun Food Tshirts Funny Men Women","Butter Fly Pun Food Tshirts Funny Men Women","Butter Fly Pun Food Tshirts Funny Men Women",,,,,,,,,,"Butter Fly Pun Food | Chirstmas Youth Tshirts - Umbrella Ink","Shop from a large range of unique Chirstmas T-Shirts for Kids and Teens. Discover our high quality printed, cotton teeshirts that range from XS to XL to suit any age from Kids to Teens and even Adults!",,"[dropbox]/Production/UI/Kids/KUP00115MAS-CODE1-Butter Fly Pun Food/Images/KUP00115MAS-CODE1---Butter-Fly-Pun-Food.jpg",[dropbox]/sff.jpg,[dropbox]/sff.jpg,[dropbox]/sff.jpg,[dropbox]/sff.jpg,[dropbox]/sff.jpg,[dropbox]/sff.jpg
KUP00115BKE-CODE1,No,KUP00115MAS-CODE1,"Butter Fly Pun Food","Butter Fly Pun Food Extra small Black",,32.00,Chirstmas,"Umbrella Ink",0.20,,,9999999,9999999,,"Kids Black",KUP00115BKE-CODE1,Default,"Extra small",243,243,32,32,32,32,-0.9,-0.9,32,32,32,32,32,"Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids Black",,,,,,,,,,"Butter Fly Pun Food | Chirstmas Youth Tshirts Extra small - Umbrella Ink","Shop from a large range of unique Chirstmas T-Shirts for Kids and Teens. Discover our high quality printed, cotton teeshirts that range from XS to XL to suit any age from Kids to Teens and even Adults!",,"[dropbox]/Production/UI/Kids/KUP00115MAS-CODE1-Butter Fly Pun Food/Images/KUP00115BKE-CODE1---Butter-Fly-Pun-Food-Black.jpg",,,,,,
KUP00115BKS-CODE1,No,KUP00115MAS-CODE1,"Butter Fly Pun Food","Butter Fly Pun Food Small Black",,32.00,Chirstmas,"Umbrella Ink",0.20,,,9999999,9999999,,"Kids Black",KUP00115BKS-CODE1,Default,Small,243,243,32,32,32,32,-0.9,-0.9,32,32,32,32,32,"Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids Black",,,,,,,,,,"Butter Fly Pun Food | Chirstmas Youth Tshirts Small - Umbrella Ink","Shop from a large range of unique Chirstmas T-Shirts for Kids and Teens. Discover our high quality printed, cotton teeshirts that range from XS to XL to suit any age from Kids to Teens and even Adults!",,"[dropbox]/Production/UI/Kids/KUP00115MAS-CODE1-Butter Fly Pun Food/Images/KUP00115BKS-CODE1---Butter-Fly-Pun-Food-Black.jpg",,,,,,
KUP00115BKM-CODE1,No,KUP00115MAS-CODE1,"Butter Fly Pun Food","Butter Fly Pun Food Medium Black",,32.00,Chirstmas,"Umbrella Ink",0.20,,,9999999,9999999,,"Kids Black",KUP00115BKM-CODE1,Default,Medium,243,243,32,32,32,32,-0.9,-0.9,32,32,32,32,32,"Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids Black",,,,,,,,,,"Butter Fly Pun Food | Chirstmas Youth Tshirts Medium - Umbrella Ink","Shop from a large range of unique Chirstmas T-Shirts for Kids and Teens. Discover our high quality printed, cotton teeshirts that range from XS to XL to suit any age from Kids to Teens and even Adults!",,"[dropbox]/Production/UI/Kids/KUP00115MAS-CODE1-Butter Fly Pun Food/Images/KUP00115BKM-CODE1---Butter-Fly-Pun-Food-Black.jpg",,,,,,
KUP00115BKL-CODE1,No,KUP00115MAS-CODE1,"Butter Fly Pun Food","Butter Fly Pun Food Large Black",,32.00,Chirstmas,"Umbrella Ink",0.20,,,9999999,9999999,,"Kids Black",KUP00115BKL-CODE1,Default,Large,243,243,32,32,32,32,-0.9,-0.9,32,32,32,32,32,"Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids Black",,,,,,,,,,"Butter Fly Pun Food | Chirstmas Youth Tshirts Large - Umbrella Ink","Shop from a large range of unique Chirstmas T-Shirts for Kids and Teens. Discover our high quality printed, cotton teeshirts that range from XS to XL to suit any age from Kids to Teens and even Adults!",,"[dropbox]/Production/UI/Kids/KUP00115MAS-CODE1-Butter Fly Pun Food/Images/KUP00115BKL-CODE1---Butter-Fly-Pun-Food-Black.jpg",,,,,,
KUP00115BK1-CODE1,No,KUP00115MAS-CODE1,"Butter Fly Pun Food","Butter Fly Pun Food XLarge Black",,32.00,Chirstmas,"Umbrella Ink",0.20,,,9999999,9999999,,"Kids Black",KUP00115BK1-CODE1,Default,XLarge,243,243,32,32,32,32,-0.9,-0.9,32,32,32,32,32,"Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids Black",,,,,,,,,,"Butter Fly Pun Food | Chirstmas Youth Tshirts XLarge - Umbrella Ink","Shop from a large range of unique Chirstmas T-Shirts for Kids and Teens. Discover our high quality printed, cotton teeshirts that range from XS to XL to suit any age from Kids to Teens and even Adults!",,"[dropbox]/Production/UI/Kids/KUP00115MAS-CODE1-Butter Fly Pun Food/Images/KUP00115BK1-CODE1---Butter-Fly-Pun-Food-Black.jpg",,,,,,
KUP00115WHE-CODE1,No,KUP00115MAS-CODE1,"Butter Fly Pun Food","Butter Fly Pun Food Extra small White",,32.00,Chirstmas,"Umbrella Ink",0.20,,,9999999,9999999,,"Kids White",KUP00115WHE-CODE1,Default,"Extra small",243,243,32,32,32,32,-0.9,-0.9,32,32,32,32,32,"Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids White",,,,,,,,,,"Butter Fly Pun Food | Chirstmas Youth Tshirts Extra small - Umbrella Ink","Shop from a large range of unique Chirstmas T-Shirts for Kids and Teens. Discover our high quality printed, cotton teeshirts that range from XS to XL to suit any age from Kids to Teens and even Adults!",,"[dropbox]/Production/UI/Kids/KUP00115MAS-CODE1-Butter Fly Pun Food/Images/KUP00115WHE-CODE1---Butter-Fly-Pun-Food-White.jpg",,,,,,
KUP00115WHS-CODE1,No,KUP00115MAS-CODE1,"Butter Fly Pun Food","Butter Fly Pun Food Small White",,32.00,Chirstmas,"Umbrella Ink",0.20,,,9999999,9999999,,"Kids White",KUP00115WHS-CODE1,Default,Small,243,243,32,32,32,32,-0.9,-0.9,32,32,32,32,32,"Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids White",,,,,,,,,,"Butter Fly Pun Food | Chirstmas Youth Tshirts Small - Umbrella Ink","Shop from a large range of unique Chirstmas T-Shirts for Kids and Teens. Discover our high quality printed, cotton teeshirts that range from XS to XL to suit any age from Kids to Teens and even Adults!",,"[dropbox]/Production/UI/Kids/KUP00115MAS-CODE1-Butter Fly Pun Food/Images/KUP00115WHS-CODE1---Butter-Fly-Pun-Food-White.jpg",,,,,,
KUP00115WHM-CODE1,No,KUP00115MAS-CODE1,"Butter Fly Pun Food","Butter Fly Pun Food Medium White",,32.00,Chirstmas,"Umbrella Ink",0.20,,,9999999,9999999,,"Kids White",KUP00115WHM-CODE1,Default,Medium,243,243,32,32,32,32,-0.9,-0.9,32,32,32,32,32,"Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids White",,,,,,,,,,"Butter Fly Pun Food | Chirstmas Youth Tshirts Medium - Umbrella Ink","Shop from a large range of unique Chirstmas T-Shirts for Kids and Teens. Discover our high quality printed, cotton teeshirts that range from XS to XL to suit any age from Kids to Teens and even Adults!",,"[dropbox]/Production/UI/Kids/KUP00115MAS-CODE1-Butter Fly Pun Food/Images/KUP00115WHM-CODE1---Butter-Fly-Pun-Food-White.jpg",,,,,,
KUP00115WHL-CODE1,No,KUP00115MAS-CODE1,"Butter Fly Pun Food","Butter Fly Pun Food Large White",,32.00,Chirstmas,"Umbrella Ink",0.20,,,9999999,9999999,,"Kids White",KUP00115WHL-CODE1,Default,Large,243,243,32,32,32,32,-0.9,-0.9,32,32,32,32,32,"Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Kids White",,,,,,,,,,"Butter Fly Pun Food | Chirstmas Youth Tshirts Large - Umbrella Ink","Shop from a large range of unique Chirstmas T-Shirts for Kids and Teens. Discover our high quality printed, cotton teeshirts that range from XS to XL to suit any age from Kids to Teens and even Adults!",,"[dropbox]/Production/UI/Kids/KUP00115MAS-CODE1-Butter Fly Pun Food/Images/KUP00115WHL-CODE1---Butter-Fly-Pun-Food-White.jpg",,,,,,
